Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,47.825,40.125,-90.0,top
C10,220nF,C_1206_3216Metric,37.8,21.775,180.0,top
C11,22uF,C_0805_2012Metric,12.4,47.4,0.0,top
C12,33pF,C_0603_1608Metric,17.7,39.6775,90.0,top
C13,10uF,C_0805_2012Metric,13.7,39.6775,90.0,top
C14,10uF,C_0805_2012Metric,19.75,32.9,-90.0,top
C15,1uF,C_0603_1608Metric,22.3,46.0375,-90.0,top
C16,1uF,C_0603_1608Metric,15.825,47.4,180.0,top
C17,220nF,C_1206_3216Metric,21.585,18.865,180.0,top
C18,220nF,C_1206_3216Metric,16.76,18.865,180.0,top
C19,100pF,C_0603_1608Metric,26.9,16.425,180.0,top
C2,220nF,C_1206_3216Metric,29.8,17.9,-90.0,top
C20,100nF,C_Feedthrough_NFM21_2.0mmx1.2mm,39.275,19.075,90.0,top
C21,100nF,C_Feedthrough_NFM21_2.0mmx1.2mm,36.325,19.075,-90.0,top
C22,100nF,C_Feedthrough_NFM21_2.0mmx1.2mm,32.6,19.375,180.0,top
C23,100nF,C_Feedthrough_NFM21_2.0mmx1.2mm,32.6,16.425,0.0,top
C24,100pF,C_0603_1608Metric,29.8,21.8,90.0,top
C25,100pF,C_0603_1608Metric,33.8,21.775,180.0,top
C26,100pF,C_0603_1608Metric,41.8,21.775,0.0,top
C27,1uF,C_0603_1608Metric,29.475,13.9,0.0,top
C28,1uF,C_0603_1608Metric,58.075,9.2,0.0,top
C29,10nF,C_0603_1608Metric,50.35,28.8,-90.0,top
C3,100nF,C_0603_1608Metric,36.8,32.4,-90.0,top
C30,C_Small,C_0805_2012Metric,21.585,21.14,180.0,top
C31,C_Small,C_0805_2012Metric,16.76,21.14,180.0,top
C32,C_Small,C_0805_2012Metric,37.8,24.0,180.0,top
C33,C_Small,C_0805_2012Metric,27.4,19.0,-90.0,top
C4,1uF,C_0603_1608Metric,27.9,35.4,180.0,top
C5,220nF,C_0603_1608Metric,23.25,31.9,-90.0,top
C6,22uF,C_0805_2012Metric,11.0,32.9,-90.0,top
C7,22uF,C_0805_2012Metric,8.9,32.9,-90.0,top
C8,1uF,C_0603_1608Metric,17.65,32.9,-90.0,top
C9,220nF,C_0603_1608Metric,24.8,31.9,-90.0,top
D1,1N5819WS,D_SOD-323,11.0,39.7,90.0,top
D2,SMF5.0A,D_SOD-123F,30.1,11.8,0.0,top
D3,SMF5.0A,D_SOD-123F,55.8375,11.8,0.0,top
D4,LED_0805_Yellow,LED_0805_2012Metric,25.935,46.03125,-90.0,top
